192,130,71,57,176,60,0,0,0,0,0,0,0,0
72,154,136,108,156,88,60,0,0,0,0,0,0,0
190,178,96,11,39,60,0,0,0,0,0,0,0,0
128,23,58,84,53,60,0,0,0,0,0,0,0,0
192,95,30,111,175,40,46,60,0,0,0,0,0,0
72,191,94,136,73,10,121,60,0,0,0,0,0,0
190,103,105,85,139,60,0,0,0,0,0,0,0,0
128,24,199,33,60,0,0,0,0,0,0,0,0,0
192,145,187,167,73,98,46,60,0,0,0,0,0,0
72,194,34,189,5,47,98,46,60,0,0,0,0,0
192,95,13,83,48,23,115,58,91,33,139,60,0,0
72,180,187,194,71,47,38,175,40,53,60,0,0,0
192,84,55,71,47,176,10,0,0,0,0,0,0,0
192,64,130,71,16,189,73,10,0,0,0,0,0,0
192,130,71,16,185,47,10,0,0,0,0,0,0,0
192,145,187,194,34,167,185,73,108,158,10,0,0,0
192,142,55,165,176,156,133,10,0,0,0,0,0,0
72,145,187,194,167,189,57,176,10,0,0,0,0,0
72,187,130,152,55,47,10,0,0,0,0,0,0,0
72,194,34,167,185,71,5,10,0,0,0,0,0,0
72,180,168,136,110,42,158,57,10,0,0,0,0,0
72,191,94,200,148,108,158,10,0,0,0,0,0,0
192,64,142,55,165,47,176,10,0,0,0,0,0,0
72,180,187,130,71,16,73,108,158,176,10,0,0,0
192,84,152,71,16,73,148,136,200,110,0,0,0,0
192,64,130,185,167,168,136,200,110,0,0,0,0,0
192,130,71,73,108,42,76,183,81,29,110,0,0,0
192,145,187,189,197,34,167,136,200,110,0,0,0,0
192,152,142,55,165,5,57,108,148,136,110,0,0,0
72,180,168,136,148,110,0,0,0,0,0,0,0,0
72,145,187,194,34,167,185,183,81,29,110,0,0,0
72,191,94,200,110,0,0,0,0,0,0,0,0,0
72,154,168,148,76,183,29,110,0,0,0,0,0,0
72,194,34,168,73,108,42,76,110,0,0,0,0,0
192,84,130,71,34,167,168,136,200,110,0,0,0,0
72,191,157,168,148,42,76,183,51,29,110,0,0,0
10,42,92,8,68,15,19,121,144,149,125,172,116,0
10,68,15,121,157,52,27,22,124,169,140,188,116,0
10,8,198,70,32,149,140,188,172,17,116,0,0,0
110,29,183,42,68,82,155,182,147,162,171,116,0,0
110,65,151,138,45,80,173,177,149,169,162,171,116,0
110,134,55,151,64,15,19,70,2,32,186,93,171,116
110,28,62,26,37,64,198,125,182,193,54,77,116,0
110,183,76,42,68,15,19,121,144,149,140,188,163,116
110,76,151,64,15,19,121,177,124,79,163,172,17,116
110,196,50,87,132,67,51,157,52,27,22,140,163,116
10,109,98,197,60,112,193,54,43,9,163,172,116,0
110,29,65,181,62,69,80,121,144,149,93,9,17,116
10,42,92,8,68,15,19,121,177,22,124,0,0,0
10,68,64,80,159,173,121,177,157,127,124,0,0,0
10,8,156,133,150,88,102,182,170,186,149,124,0,0
110,29,65,81,183,76,151,64,15,19,121,177,22,124
110,65,181,62,6,4,67,1,52,127,22,124,0,0
110,134,65,26,117,37,69,45,159,173,121,144,149,124
110,28,196,50,84,132,67,51,157,52,127,27,22,124
110,183,76,42,92,156,133,150,82,155,125,149,124,0
110,76,151,64,80,159,173,121,177,144,149,124,0,0
110,196,50,62,118,161,131,12,67,51,157,52,22,124
10,176,68,64,15,19,121,177,127,52,27,22,124,0
110,29,65,181,62,118,161,4,131,12,159,177,22,124
10,176,158,42,92,8,56,151,138,45,51,0,0,0
10,108,42,92,8,68,64,80,159,51,0,0,0,0
10,158,42,92,8,68,64,15,19,173,51,0,0,0
110,29,81,26,117,69,45,80,159,51,0,0,0,0
110,183,56,64,80,159,173,51,0,0,0,0,0,0
110,65,62,118,161,6,4,131,12,132,67,51,0,0
110,134,181,62,6,117,69,45,80,159,51,0,0,0
110,28,196,50,87,132,67,51,0,0,0,0,0,0
110,76,151,138,64,80,159,51,0,0,0,0,0,0
110,181,62,118,161,6,4,131,12,67,51,0,0,0
10,156,19,15,64,80,45,51,0,0,0,0,0,0
110,29,183,76,26,6,4,131,12,132,51,0,0,0
10,92,8,56,151,37,26,6,196,50,87,0,0,0
10,57,73,108,148,136,200,94,28,196,50,87,0,0
10,42,76,183,81,26,6,4,131,12,132,87,0,0
110,29,81,26,6,4,131,12,132,87,0,0,0,0
110,65,181,62,118,161,87,0,0,0,0,0,0,0
110,134,28,196,50,87,0,0,0,0,0,0,0,0
110,183,76,151,138,37,69,45,67,132,87,0,0,0
110,81,26,117,6,4,161,50,87,0,0,0,0,0
110,200,94,134,196,50,87,0,0,0,0,0,0,0
110,94,136,148,183,51,26,62,118,161,87,0,0,0
10,176,158,42,183,65,181,62,50,87,0,0,0,0
110,134,28,196,50,87,0,0,0,0,0,0,0,0
